strike,gamma,vanna,charm,oi,underlying,GEX,VannaExp,CharmExp,cum_gex
450.0,0.0,0,0,15586,616.99,0.0,0.0,0.0,0.0
454.78,0.0,0,0,596,616.99,0.0,0.0,0.0,0.0
454.78,0.0,0,0,14139,616.99,0.0,0.0,0.0,0.0
459.78,0.0,0,0,1963,616.99,0.0,0.0,0.0,0.0
460.0,0.0,0,0,3384,616.99,0.0,0.0,0.0,0.0
460.0,0.0,0,0,18479,616.99,0.0,0.0,0.0,0.0
464.78,0.0,0,0,3076,616.99,0.0,0.0,0.0,0.0
464.78,0.0,0,0,349,616.99,0.0,0.0,0.0,0.0
469.78,0.0,0,0,1999,616.99,0.0,0.0,0.0,0.0
470.0,0.0,0,0,1852,616.99,0.0,0.0,0.0,0.0
470.0,0.0,0,0,6572,616.99,0.0,0.0,0.0,0.0
474.78,0.0,0,0,796,616.99,0.0,0.0,0.0,0.0
474.78,0.0,0,0,3818,616.99,0.0,0.0,0.0,0.0
479.78,0.0,0,0,717,616.99,0.0,0.0,0.0,0.0
479.78,0.0,0,0,1459,616.99,0.0,0.0,0.0,0.0
480.0,0.0,0,0,6270,616.99,0.0,0.0,0.0,0.0
480.0,0.0,0,0,15913,616.99,0.0,0.0,0.0,0.0
484.78,0.0,0,0,4217,616.99,0.0,0.0,0.0,0.0
484.78,0.0,0,0,829,616.99,0.0,0.0,0.0,0.0
489.78,0.0,0,0,2233,616.99,0.0,0.0,0.0,0.0
489.78,0.0,0,0,308,616.99,0.0,0.0,0.0,0.0
490.0,0.0,0,0,3172,616.99,0.0,0.0,0.0,0.0
490.0,0.0,0,0,9038,616.99,0.0,0.0,0.0,0.0
494.78,0.0,0,0,7800,616.99,0.0,0.0,0.0,0.0
494.78,0.0,0,0,1244,616.99,0.0,0.0,0.0,0.0
499.78,0.0,0,0,2416,616.99,0.0,0.0,0.0,0.0
499.78,0.0,0,0,545,616.99,0.0,0.0,0.0,0.0
500.0,0.0,0,0,5101,616.99,0.0,0.0,0.0,0.0
500.0,0.0,0,0,32368,616.99,0.0,0.0,0.0,0.0
504.78,0.0,0,0,2625,616.99,0.0,0.0,0.0,0.0
504.78,0.001,0,0,3144,616.99,193981.65600000002,0.0,0.0,193981.65600000002
509.78,0.0,0,0,401,616.99,0.0,0.0,0.0,193981.65600000002
509.78,0.001,0,0,3489,616.99,215267.811,0.0,0.0,409249.467
510.0,0.001,0,0,19936,616.99,1230031.264,0.0,0.0,1639280.731
510.0,0.0,0,0,973,616.99,0.0,0.0,0.0,1639280.731
514.78,0.0,0,0,730,616.99,0.0,0.0,0.0,1639280.731
514.78,0.001,0,0,8312,616.99,512842.088,0.0,0.0,2152122.819
519.78,0.0,0,0,290,616.99,0.0,0.0,0.0,2152122.819
519.78,0.001,0,0,1891,616.99,116672.809,0.0,0.0,2268795.628
520.0,0.001,0,0,10234,616.99,631427.566,0.0,0.0,2900223.194
520.0,0.0,0,0,3087,616.99,0.0,0.0,0.0,2900223.194
524.78,0.001,0,0,6468,616.99,399069.132,0.0,0.0,3299292.3260000004
524.78,0.0,0,0,2646,616.99,0.0,0.0,0.0,3299292.3260000004
529.78,0.0,0,0,1283,616.99,0.0,0.0,0.0,3299292.3260000004
529.78,0.001,0,0,2561,616.99,158011.13900000002,0.0,0.0,3457303.4650000003
530.0,0.0,0,0,10040,616.99,0.0,0.0,0.0,3457303.4650000003
530.0,0.001,0,0,30234,616.99,1865407.566,0.0,0.0,5322711.031
534.78,0.0,0,0,859,616.99,0.0,0.0,0.0,5322711.031
534.78,0.001,0,0,5706,616.99,352054.494,0.0,0.0,5674765.525
539.78,0.002,0,0,4098,616.99,505685.004,0.0,0.0,6180450.529
539.78,0.001,0,0,783,616.99,48310.316999999995,0.0,0.0,6228760.846
540.0,0.002,0,0,21203,616.99,2616407.7939999998,0.0,0.0,8845168.64
540.0,0.001,0,0,3384,616.99,208789.416,0.0,0.0,9053958.056
544.78,0.001,0,0,2606,616.99,160787.59399999998,0.0,0.0,9214745.65
544.78,0.002,0,0,10763,616.99,1328132.6739999999,0.0,0.0,10542878.324000001
549.78,0.002,0,0,4735,616.99,584289.53,0.0,0.0,11127167.854
549.78,0.002,0,0,1192,616.99,147090.416,0.0,0.0,11274258.27
550.0,0.002,0,0,55879,616.99,6895356.841999999,0.0,0.0,18169615.112
550.0,0.002,0,0,19684,616.99,2428966.2320000003,0.0,0.0,20598581.344
554.78,0.003,0,0,5138,616.99,951028.3859999999,0.0,0.0,21549609.73
554.78,0.002,0,0,1284,616.99,158443.032,0.0,0.0,21708052.762000002
559.78,0.002,0,0,7178,616.99,885750.8439999999,0.0,0.0,22593803.606000002
559.78,0.003,0,0,5460,616.99,1010629.62,0.0,0.0,23604433.226000004
560.0,0.002,0,0,588,616.99,72558.02399999999,0.0,0.0,23676991.250000004
560.0,0.003,0,0,33051,616.99,6117640.947000001,0.0,0.0,29794632.197000004
564.78,0.004,0,0,6155,616.99,1519029.3800000001,0.0,0.0,31313661.577000003
564.78,0.003,0,0,2778,616.99,514199.466,0.0,0.0,31827861.043000005
569.78,0.004,0,0,2376,616.99,586387.296,0.0,0.0,32414248.339000005
569.78,0.004,0,0,5027,616.99,1240643.492,0.0,0.0,33654891.83100001
570.0,0.004,0,0,530,616.99,130801.88,0.0,0.0,33785693.71100001
570.0,0.004,0,0,30376,616.99,7496675.296,0.0,0.0,41282369.007000014
574.78,0.005,0,0,14139,616.99,4361810.805000001,0.0,0.0,45644179.812000014
574.78,0.005,0,0,3182,616.99,981631.09,0.0,0.0,46625810.90200002
579.78,0.006,0,0,4272,616.99,1581468.7680000002,0.0,0.0,48207279.67000002
579.78,0.006,0,0,2468,616.99,913638.792,0.0,0.0,49120918.46200002
580.0,0.006,0,0,1598,616.99,591570.0120000001,0.0,0.0,49712488.47400002
580.0,0.006,0,0,43685,616.99,16171924.89,0.0,0.0,65884413.36400002
584.78,0.007,0,0,2435,616.99,1051659.455,0.0,0.0,66936072.81900002
584.78,0.007,0,0,11699,616.99,5052716.207,0.0,0.0,71988789.02600002
589.78,0.008,0,0,3322,616.99,1639712.624,0.0,0.0,73628501.65000002
589.78,0.008,0,0,5679,616.99,2803108.968,0.0,0.0,76431610.61800002
590.0,0.008,0,0,36343,616.99,17938614.056,0.0,0.0,94370224.67400002
590.0,0.008,0,0,3850,616.99,1900329.2,0.0,0.0,96270553.87400003
594.78,0.009,0,0,7999,616.99,4441772.709000001,0.0,0.0,100712326.58300003
594.78,0.009,0,0,5883,616.99,3266776.9529999997,0.0,0.0,103979103.53600003
599.78,0.01,0,0,3953,616.99,2438961.47,0.0,0.0,106418065.00600003
599.78,0.01,0,0,3685,616.99,2273608.15,0.0,0.0,108691673.15600003
600.0,0.01,0,0,66215,616.99,40853992.85,0.0,0.0,149545666.00600004
600.0,0.01,0,0,28215,616.99,17408372.85,0.0,0.0,166954038.85600004
604.78,0.011,0,0,15281,616.99,10371046.609,0.0,0.0,177325085.46500003
604.78,0.012,0,0,13397,616.99,9918978.036,0.0,0.0,187244063.50100005
609.78,0.013,0,0,2885,616.99,2314020.9949999996,0.0,0.0,189558084.49600005
609.78,0.013,0,0,3945,616.99,3164233.215,0.0,0.0,192722317.71100006
610.0,0.013,0,0,21881,616.99,17550465.646999996,0.0,0.0,210272783.35800004
610.0,0.013,0,0,13830,616.99,11092863.21,0.0,0.0,221365646.56800005
615.0,0.014,0,0,16538,616.99,14285292.868,0.0,0.0,235650939.43600005
