strike,put_gex,put_dex,net_greek_delta,call_gex,call_dex,net_gex
6685.0,192872.18479700002,-19957144.841164,-0.10944754716981131,0.0,0.0,-192872.18479700002
6690.0,391317.914713,-36827646.633586,-0.10233537284894838,0.0,0.0,-391317.914713
6695.0,190051.00763799998,-19230244.462927997,-0.11596348547717843,0.0,0.0,-190051.00763799998
6700.0,3354861.3064439995,-295288003.01619697,-0.10436291342412451,0.0,0.0,-3354861.3064439995
6705.0,819861.606085,-84899266.85736398,-0.13111965993623806,0.0,0.0,-819861.606085
6710.0,1121727.562098,-117046787.01176599,-0.13543264331210192,0.0,0.0,-1121727.562098
6715.0,791649.834495,-88229563.27976501,-0.14472178329571106,0.0,0.0,-791649.834495
6720.0,809196.1802400001,-23811148.07715401,-0.03716928034371645,0.0,0.0,-809196.1802400001
6725.0,1429579.918424,-148193339.74831498,-0.1444456740442656,0.0,0.0,-1429579.918424
6730.0,896927.908965,-92137788.164567,-0.15338293241695303,0.0,0.0,-896927.908965
6735.0,962090.2204179999,-101070667.18794602,-0.15726488222698073,0.0,0.0,-962090.2204179999
6740.0,770800.647198,-81399149.331831,-0.16851410256410254,0.0,0.0,-770800.647198
6745.0,348105.73774099996,-36205817.902223006,-0.1719532679738562,0.0,0.0,-348105.73774099996
6750.0,2010123.1303869998,-181480133.81055996,-0.14926089417091112,0.0,0.0,-2010123.1303869998
6755.0,353266.427666,-28189615.027921997,-0.13005650793650794,0.0,0.0,-353266.427666
6760.0,483040.5769799999,-36603947.927636996,-0.13006430317848408,0.0,0.0,-483040.5769799999
6765.0,1161430.4699209998,-119387469.53414902,-0.18983052516411378,0.0,0.0,-1161430.4699209998
6770.0,666554.7107129999,-65527619.490491,-0.1904618,0.0,0.0,-666554.7107129999
6775.0,2218064.529765,-256156142.73569798,-0.22345150060024013,0.0,0.0,-2218064.529765
6780.0,1133218.6983309998,-102072941.98057999,-0.18542749999999997,0.0,0.0,-1133218.6983309998
6785.0,551780.9667809999,-50559623.241220005,-0.1893762886597938,0.0,0.0,-551780.9667809999
6790.0,508431.17141099996,-53352382.201032996,-0.2209022792022792,0.0,0.0,-508431.17141099996
6795.0,773897.061153,-65786686.124726005,-0.1852856589147287,0.0,0.0,-773897.061153
6800.0,2722780.0044299997,-245766091.30509603,-0.20693534183082274,0.0,0.0,-2722780.0044299997
6805.0,452764.52942000004,-34635936.027038,-0.1830407272727273,0.0,0.0,-452764.52942000004
6810.0,601942.872852,-41658327.640181996,-0.17006123595505618,0.0,0.0,-601942.872852
6815.0,1642682.007727,-171902306.164954,-0.26077724425887266,0.0,0.0,-1642682.007727
6820.0,1407905.0207389998,-64734455.853618,-0.1195402795425667,0.0,0.0,-1407905.0207389998
6825.0,2977718.0867250003,-302031442.13659495,-0.266347390776699,0.0,0.0,-2977718.0867250003
6830.0,995393.8727339999,-68847594.53304201,-0.19542148437500004,0.0,0.0,-995393.8727339999
6835.0,2085331.584894,-207868186.39026403,-0.26996747095621093,0.0,0.0,-2085331.584894
6840.0,2599886.7750159996,-207716737.343265,-0.22360999999999998,0.0,0.0,-2599886.7750159996
6845.0,2634222.565317,-305662090.712631,-0.32711111929307807,0.0,0.0,-2634222.565317
6850.0,3513191.273343,-260183201.107173,-0.22587974910394265,0.0,0.0,-3513191.273343
6855.0,1164802.1206719999,-93805379.102332,-0.25152546125461256,0.0,0.0,-1164802.1206719999
6860.0,1693463.196589,-78500011.350364,-0.15313234899328856,0.0,0.0,-1693463.196589
6865.0,1208908.817231,-79392053.80620001,-0.21810964083175804,0.0,0.0,-1208908.817231
6870.0,5734489.835461,-739373765.7847251,-0.37969169611307424,0.0,0.0,-5734489.835461
6875.0,3617850.065022,-402143390.754874,-0.35355874168179074,0.0,0.0,-3617850.065022
6880.0,2113130.50129,-25010836.461718984,-0.04532182044887781,0.0,0.0,-2113130.50129
6885.0,1265194.742013,-63246869.78043699,-0.1827361829025845,0.0,0.0,-1265194.742013
6890.0,5171974.633636,-265547910.3072079,-0.17605802919708027,0.0,0.0,-5171974.633636
6895.0,1355128.3651059999,-15204080.611039996,-0.0434106090373281,0.0,0.0,-1355128.3651059999
6900.0,26004097.249284,94141099.18425298,0.014888965066927837,0.0,0.0,-26004097.249284
6905.0,13684429.451125,890599389.3145719,0.327754570777412,0.0,0.0,-13684429.451125
