strike,gamma,vanna,charm,oi,underlying,GEX,VannaExp,CharmExp,cum_gex
405,0.0,0,0,3755,680.645,0.0,0.0,0.0,0.0
405,0.0,0,0,1,680.645,0.0,0.0,0.0,0.0
410,0.0,0,0,17,680.645,0.0,0.0,0.0,0.0
410,0.0,0,0,5819,680.645,0.0,0.0,0.0,0.0
415,0.0,0,0,1805,680.645,0.0,0.0,0.0,0.0
415,0.0,0,0,1,680.645,0.0,0.0,0.0,0.0
420,0.0,0,0,31,680.645,0.0,0.0,0.0,0.0
420,0.0,0,0,25044,680.645,0.0,0.0,0.0,0.0
425,0.0,0,0,9,680.645,0.0,0.0,0.0,0.0
425,0.0,0,0,3521,680.645,0.0,0.0,0.0,0.0
430,0.0,0,0,3967,680.645,0.0,0.0,0.0,0.0
430,0.0,0,0,5,680.645,0.0,0.0,0.0,0.0
435,0.0,0,0,0,680.645,0.0,0.0,0.0,0.0
435,0.0,0,0,3712,680.645,0.0,0.0,0.0,0.0
440,0.0,0,0,15850,680.645,0.0,0.0,0.0,0.0
440,0.0,0,0,5,680.645,0.0,0.0,0.0,0.0
445,0.0,0,0,6269,680.645,0.0,0.0,0.0,0.0
445,0.0,0,0,5,680.645,0.0,0.0,0.0,0.0
450,0.0,0,0,32,680.645,0.0,0.0,0.0,0.0
450,0.0,0,0,24639,680.645,0.0,0.0,0.0,0.0
455,0.0,0,0,4,680.645,0.0,0.0,0.0,0.0
455,0.0,0,0,8157,680.645,0.0,0.0,0.0,0.0
460,0.0,0,0,6540,680.645,0.0,0.0,0.0,0.0
460,0.0,0,0,12,680.645,0.0,0.0,0.0,0.0
465,0.0,0,0,1,680.645,0.0,0.0,0.0,0.0
465,0.0,0,0,2674,680.645,0.0,0.0,0.0,0.0
470,0.0,0,0,28,680.645,0.0,0.0,0.0,0.0
470,0.0,0,0,5978,680.645,0.0,0.0,0.0,0.0
475,0.0,0,0,14532,680.645,0.0,0.0,0.0,0.0
475,0.0,0,0,11,680.645,0.0,0.0,0.0,0.0
480,0.0,0,0,12416,680.645,0.0,0.0,0.0,0.0
480,0.0,0,0,92,680.645,0.0,0.0,0.0,0.0
485,0.0,0,0,7631,680.645,0.0,0.0,0.0,0.0
485,0.0,0,0,2302,680.645,0.0,0.0,0.0,0.0
490,0.0,0,0,330,680.645,0.0,0.0,0.0,0.0
490,0.0,0,0,7930,680.645,0.0,0.0,0.0,0.0
495,0.0,0,0,69,680.645,0.0,0.0,0.0,0.0
495,0.0,0,0,9715,680.645,0.0,0.0,0.0,0.0
500,0.0,0,0,1649,680.645,0.0,0.0,0.0,0.0
500,0.0,0,0,34907,680.645,0.0,0.0,0.0,0.0
505,0.0,0,0,9103,680.645,0.0,0.0,0.0,0.0
505,0.0,0,0,247,680.645,0.0,0.0,0.0,0.0
510,0.0,0,0,1229,680.645,0.0,0.0,0.0,0.0
510,0.0,0,0,7802,680.645,0.0,0.0,0.0,0.0
515,0.0,0,0,1378,680.645,0.0,0.0,0.0,0.0
515,0.0,0,0,7706,680.645,0.0,0.0,0.0,0.0
520,0.0,0,0,28203,680.645,0.0,0.0,0.0,0.0
520,0.0,0,0,2715,680.645,0.0,0.0,0.0,0.0
525,0.0,0,0,28638,680.645,0.0,0.0,0.0,0.0
525,0.0,0,0,2840,680.645,0.0,0.0,0.0,0.0
530,0.0,0,0,4353,680.645,0.0,0.0,0.0,0.0
530,0.0,0,0,10209,680.645,0.0,0.0,0.0,0.0
535,0.0,0,0,2971,680.645,0.0,0.0,0.0,0.0
535,0.0,0,0,9001,680.645,0.0,0.0,0.0,0.0
540,0.0,0,0,3648,680.645,0.0,0.0,0.0,0.0
